Rank,Phrase,Frequency,Type
1,. . . . .,104767,5-gram
2,the 2030 agenda for sustainable,3675,5-gram
3,of the nairobi maafikiano and,3615,5-gram
4,paragraph of the nairobi maafikiano,3614,5-gram
5,the nairobi maafikiano and implementation,3614,5-gram
6,nairobi maafikiano and implementation status,3614,5-gram
7,maafikiano and implementation status activities,3614,5-gram
8,and implementation status activities and,3614,5-gram
9,implementation status activities and related,3614,5-gram
10,status activities and related outputs,3614,5-gram
11,activities and related outputs comments/observations,3614,5-gram
12,– – – – –,3261,5-gram
13,technologies in the area of,3238,5-gram
14,emerging technologies in the area,3187,5-gram
15,• • • • •,3116,5-gram
16,- - - - -,3036,5-gram
17,in the context of the,2285,5-gram
18,2030 agenda for sustainable development,1989,5-gram
19,in the area of lethal,1763,5-gram
20,the area of lethal autonomous,1759,5-gram
21,of and follow-up to the,1687,5-gram
22,parties to the convention on,1679,5-gram
23,agenda for sustainable development and,1659,5-gram
24,implementation of and follow-up to,1655,5-gram
25,status of implementation of paragraph:,1534,5-gram
26,of implementation of paragraph: on,1508,5-gram
27,is of the view that,1501,5-gram
28,and other states parties to,1458,5-gram
29,implementation of paragraph: on track,1456,5-gram
30,other states parties to the,1445,5-gram
31,law and international human rights,1433,5-gram
32,humanitarian law and international human,1419,5-gram
33,international humanitarian law and international,1385,5-gram
34,to the effective implementation of,1376,5-gram
35,(thousands of united states dollars),1350,5-gram
36,area of lethal autonomous weapons,1341,5-gram
37,in the implementation of the,1339,5-gram
38,the convention on certain conventional,1329,5-gram
39,to the 2030 agenda for,1327,5-gram
40,the charter of the united,1303,5-gram
41,"sustained, inclusive and sustainable economic",1300,5-gram
42,relevant outcomes from global conferences,1300,5-gram
43,outcomes from global conferences and,1300,5-gram
44,follow-up to the 2030 agenda,1279,5-gram
45,and follow-up to the 2030,1279,5-gram
46,contributing to the effective implementation,1276,5-gram
47,the effective implementation of and,1274,5-gram
48,effective implementation of and follow-up,1274,5-gram
49,for sustainable development and relevant,1274,5-gram
50,sustainable development and relevant outcomes,1274,5-gram
51,development and relevant outcomes from,1274,5-gram
52,and relevant outcomes from global,1274,5-gram
53,"from global conferences and summits,",1274,5-gram
54,"global conferences and summits, as",1274,5-gram
55,"conferences and summits, as related",1274,5-gram
56,inclusive and sustainable economic growth,1270,5-gram
57,including international humanitarian law and,1258,5-gram
58,"promoting sustained, inclusive and sustainable",1256,5-gram
59,and sustainable economic growth through,1248,5-gram
60,"sustainable economic growth through trade,",1248,5-gram
61,"economic growth through trade, investment,",1248,5-gram
62,"growth through trade, investment, finance",1248,5-gram
63,"through trade, investment, finance and",1248,5-gram
64,"trade, investment, finance and technology",1248,5-gram
65,"investment, finance and technology to",1248,5-gram
66,finance and technology to achieve,1248,5-gram
67,and technology to achieve prosperity,1248,5-gram
68,technology to achieve prosperity for,1248,5-gram
