Rank,Phrase,Frequency,Type
1,. . . . . .,71929,6-gram
2,– – – – – –,2263,6-gram
3,0 0 0 0 0 0,1214,6-gram
4,• • • • • •,837,6-gram
5,agreed with the board’s recommendation that,673,6-gram
6,with the board’s recommendation that it,564,6-gram
7,"official records of the general assembly,",526,6-gram
8,status: in progress priority: high target,500,6-gram
9,in progress priority: high target date:,499,6-gram
10,status: in progress priority: medium target,485,6-gram
11,in progress priority: medium target date:,485,6-gram
12,report of the secretary-general on the,464,6-gram
13,the united nations high commissioner for,386,6-gram
14,e e e e e e,372,6-gram
15,kingdom of great britain and northern,366,6-gram
16,united kingdom of great britain and,339,6-gram
17,advisory committee on administrative and budgetary,338,6-gram
18,c h i l d r,334,6-gram
19,- - - - - -,332,6-gram
20,progress priority: medium target date: fourth,332,6-gram
21,priority: medium target date: fourth quarter,332,6-gram
22,medium target date: fourth quarter of,332,6-gram
23,— — — — — —,328,6-gram
24,i l d r e n,324,6-gram
25,"upon enquiry, the advisory committee was",323,6-gram
26,h i l d r e,321,6-gram
27,priority: high target date: fourth quarter,320,6-gram
28,progress priority: high target date: fourth,319,6-gram
29,high target date: fourth quarter of,317,6-gram
30,of the united nations high commissioner,312,6-gram
31,office of the united nations high,309,6-gram
32,the advisory committee on administrative and,303,6-gram
33,"records of the general assembly, thirty-first",300,6-gram
34,the advisory committee was informed that,292,6-gram
35,for the biennium ended 31 december,285,6-gram
36,by the general assembly in its,282,6-gram
37,the general assembly in its resolution,275,6-gram
38,the office of the united nations,270,6-gram
39,office for the coordination of humanitarian,270,6-gram
40,a t i o n a,260,6-gram
41,in the proposed programme budget for,256,6-gram
42,committee on administrative and budgetary questions,254,6-gram
43,the office of internal oversight services,250,6-gram
44,the department of economic and social,249,6-gram
45,of the secretary-general on the work,245,6-gram
46,the secretary-general on the work of,245,6-gram
47,secretary-general on the work of the,243,6-gram
48,"enquiry, the advisory committee was informed",241,6-gram
49,united nations office on drugs and,236,6-gram
50,the office for the coordination of,233,6-gram
51,the 2030 agenda for sustainable development,229,6-gram
52,"of the economic and social council,",228,6-gram
53,target date: fourth quarter of 2010,227,6-gram
54,on the work of the organization,226,6-gram
55,the united nations as reported in,225,6-gram
56,united nations as reported in volume,225,6-gram
57,of the 2030 agenda for sustainable,224,6-gram
58,for the period from 1 july,224,6-gram
59,in latin america and the caribbean,224,6-gram
60,for the year ended 31 december,221,6-gram
61,appropriation adjustments mandates other total percentage,221,6-gram
62,adjustments mandates other total percentage recosting),221,6-gram
63,of the united nations as reported,220,6-gram
64,expenditure appropriation adjustments mandates other total,220,6-gram
65,department of economic and social affairs,217,6-gram
66,records of the economic and social,217,6-gram
67,official records of the economic and,215,6-gram
68,t i o n a l,215,6-gram
69,c a t i o n,211,6-gram
70,nations as reported in volume i,210,6-gram
71,for the coordination of humanitarian affairs,206,6-gram
72,the united nations office at nairobi,204,6-gram
73,m i n i s t,202,6-gram
74,treaty on the non-proliferation of nuclear,201,6-gram
75,the report of the secretary-general on,198,6-gram
76,conference of the parties to the,197,6-gram
77,the treaty on the non-proliferation of,197,6-gram
78,the united nations office at geneva,197,6-gram
79,target date: fourth quarter of 2012,196,6-gram
80,development in latin america and the,187,6-gram
81,report of the board of auditors,187,6-gram
82,the united nations office on drugs,186,6-gram
83,"i overall policymaking, direction and coordination",185,6-gram
84,the economic and social commission for,182,6-gram
85,united nations conference on trade and,182,6-gram
86,advisory committee was informed that the,182,6-gram
87,to the general assembly at its,180,6-gram
88,of the economic and social council,179,6-gram
89,proposed programme budget for the biennium,178,6-gram
