Rank,Phrase,Frequency,Type
1,. . . .,108321,4-gram
2,of the united nations,10833,4-gram
3,the implementation of the,7789,4-gram
4,in the context of,6058,4-gram
5,- - - -,5441,4-gram
6,– – – –,5370,4-gram
7,as well as the,5133,4-gram
8,in the area of,5000,4-gram
9,2030 agenda for sustainable,3822,4-gram
10,the 2030 agenda for,3817,4-gram
11,in accordance with the,3792,4-gram
12,• • • •,3739,4-gram
13,the work of the,3714,4-gram
14,of the nairobi maafikiano,3641,4-gram
15,the nairobi maafikiano and,3615,4-gram
16,paragraph of the nairobi,3614,4-gram
17,nairobi maafikiano and implementation,3614,4-gram
18,maafikiano and implementation status,3614,4-gram
19,and implementation status activities,3614,4-gram
20,implementation status activities and,3614,4-gram
21,status activities and related,3614,4-gram
22,activities and related outputs,3614,4-gram
23,and related outputs comments/observations,3614,4-gram
24,emerging technologies in the,3392,4-gram
25,on behalf of the,3366,4-gram
26,technologies in the area,3243,4-gram
27,with a view to,3151,4-gram
28,states parties to the,2986,4-gram
29,in the field of,2911,4-gram
30,on the basis of,2881,4-gram
31,the report of the,2784,4-gram
32,per cent of the,2561,4-gram
33,the context of the,2560,4-gram
34,the office of the,2475,4-gram
35,parties to the convention,2388,4-gram
36,of the group of,2278,4-gram
37,the least developed countries,2221,4-gram
38,the united nations and,2214,4-gram
39,i would like to,2196,4-gram
40,of the 2030 agenda,2185,4-gram
41,to the convention on,2131,4-gram
42,the united nations system,2128,4-gram
43,with regard to the,2122,4-gram
44,in the implementation of,2054,4-gram
45,to the united nations,2053,4-gram
46,for sustainable development and,2052,4-gram
47,of the general assembly,2043,4-gram
48,of lethal autonomous weapons,2006,4-gram
49,agenda for sustainable development,2006,4-gram
50,the group of nam,1973,4-gram
51,in line with the,1971,4-gram
52,"science, technology and innovation",1954,4-gram
53,group of governmental experts,1953,4-gram
54,the economic and social,1923,4-gram
55,of the view that,1918,4-gram
56,international humanitarian law and,1897,4-gram
57,the sustainable development goals,1875,4-gram
58,1 1 1 1,1875,4-gram
59,status of implementation of,1865,4-gram
60,the rights of the,1863,4-gram
61,of united states dollars),1846,4-gram
62,on the rights of,1826,4-gram
63,the importance of the,1816,4-gram
64,the effective implementation of,1813,4-gram
65,as a result of,1807,4-gram
66,lethal autonomous weapons systems,1800,4-gram
67,area of lethal autonomous,1768,4-gram
68,the area of lethal,1766,4-gram
69,"of the united nations,",1760,4-gram
70,the framework of the,1753,4-gram
71,united nations conference on,1752,4-gram
72,and the united nations,1739,4-gram
73,and follow-up to the,1727,4-gram
74,the convention on the,1703,4-gram
75,of and follow-up to,1695,4-gram
76,on the use of,1690,4-gram
77,the united nations office,1688,4-gram
78,of the sustainable development,1683,4-gram
79,and international human rights,1662,4-gram
80,implementation of and follow-up,1656,4-gram
81,the establishment of a,1621,4-gram
82,economic and social council,1612,4-gram
83,the high contracting parties,1588,4-gram
84,"the least developed countries,",1574,4-gram
85,and other states parties,1552,4-gram
86,implementation of the 2030,1551,4-gram
87,by the general assembly,1550,4-gram
88,of implementation of paragraph:,1534,4-gram
89,other states parties to,1521,4-gram
90,is of the view,1521,4-gram
91,and in this regard,1521,4-gram
92,implementation of paragraph: on,1508,4-gram
93,information and communications technologies,1488,4-gram
94,to ensure that the,1485,4-gram
95,of paragraph: on track,1482,4-gram
96,(thousands of united states,1478,4-gram
97,small arms and light,1454,4-gram
98,the council of europe,1450,4-gram
99,to the general assembly,1446,4-gram
100,the charter of the,1442,4-gram
101,the right to privacy,1442,4-gram
102,of the implementation of,1441,4-gram
103,law and international human,1439,4-gram
104,humanitarian law and international,1438,4-gram
105,on the implementation of,1429,4-gram
106,convention on certain conventional,1416,4-gram
107,the convention on certain,1404,4-gram
108,taking into account the,1396,4-gram
109,to the effective implementation,1384,4-gram
110,by the united nations,1382,4-gram
111,charter of the united,1371,4-gram
112,to the 2030 agenda,1368,4-gram
113,the achievement of the,1349,4-gram
114,"sustained, inclusive and sustainable",1337,4-gram
115,inclusive and sustainable economic,1333,4-gram
116,"the sustainable development goals,",1308,4-gram
117,relevant outcomes from global,1300,4-gram
118,outcomes from global conferences,1300,4-gram
119,from global conferences and,1300,4-gram
120,parties to the ccw,1287,4-gram
121,including international humanitarian law,1287,4-gram
122,follow-up to the 2030,1281,4-gram
123,contributing to the effective,1279,4-gram
124,"conferences and summits, as",1277,4-gram
125,"global conferences and summits,",1275,4-gram
126,effective implementation of and,1274,4-gram
127,sustainable development and relevant,1274,4-gram
128,development and relevant outcomes,1274,4-gram
129,and relevant outcomes from,1274,4-gram
130,"and summits, as related",1274,4-gram
131,to trade and development.,1274,4-gram
132,and sustainable economic growth,1270,4-gram
133,as at 31 december,1270,4-gram
134,finance and technology to,1267,4-gram
135,in relation to the,1266,4-gram
136,report of the secretary-general,1266,4-gram
137,"promoting sustained, inclusive and",1256,4-gram
138,within the framework of,1254,4-gram
139,challenges and opportunities in,1254,4-gram
140,and technology to achieve,1249,4-gram
141,sustainable economic growth through,1248,4-gram
142,"economic growth through trade,",1248,4-gram
143,"growth through trade, investment,",1248,4-gram
144,"through trade, investment, finance",1248,4-gram
145,"trade, investment, finance and",1248,4-gram
146,"investment, finance and technology",1248,4-gram
147,technology to achieve prosperity,1248,4-gram
148,to achieve prosperity for,1248,4-gram
149,achieve prosperity for all,1248,4-gram
150,least developed countries in,1247,4-gram
151,the group of governmental,1236,4-gram
152,for trade and development,1233,4-gram
153,for the implementation of,1230,4-gram
154,high contracting parties to,1226,4-gram
155,"2: promoting sustained, inclusive",1222,4-gram
156,the world summit on,1214,4-gram
157,to the implementation of,1196,4-gram
158,in the case of,1190,4-gram
159,of the right to,1188,4-gram
160,the adoption of the,1181,4-gram
161,the outcomes of the,1178,4-gram
162,t i o n,1178,4-gram
163,the mandate of the,1175,4-gram
164,and opportunities in multilateralism,1171,4-gram
165,opportunities in multilateralism for,1171,4-gram
166,in multilateralism for trade,1171,4-gram
167,multilateralism for trade and,1171,4-gram
168,of least developed countries,1162,4-gram
169,1: challenges and opportunities,1144,4-gram
170,summit on the information,1139,4-gram
171,world summit on the,1136,4-gram
172,in the areas of,1134,4-gram
173,the addis ababa action,1133,4-gram
174,on emerging technologies in,1129,4-gram
175,speak on behalf of,1128,4-gram
176,the end of the,1125,4-gram
177,of information and communications,1114,4-gram
178,of the convention on,1108,4-gram
179,nations high commissioner for,1108,4-gram
180,"in this regard, the",1100,4-gram
181,state parties to the,1098,4-gram
182,to contribute to the,1088,4-gram
183,the sustainable development goals.,1088,4-gram
184,at the end of,1087,4-gram
185,of the secretary-general on,1087,4-gram
186,united nations office at,1085,4-gram
187,convention on the rights,1083,4-gram
188,rights of the child,1081,4-gram
189,of nuclear weapons and,1078,4-gram
190,with the united nations,1071,4-gram
191,nam is of the,1063,4-gram
192,use of certain conventional,1062,4-gram
193,the general assembly at,1059,4-gram
194,weapons of mass destruction,1056,4-gram
195,the united nations high,1054,4-gram
196,as well as to,1047,4-gram
197,of the office of,1045,4-gram
198,of the european union,1041,4-gram
199,united nations high commissioner,1039,4-gram
200,"international law, including international",1038,4-gram
201,for the least developed,1038,4-gram
202,on certain conventional weapons,1036,4-gram
203,in order to ensure,1036,4-gram
204,latin america and the,1035,4-gram
205,of the report of,1032,4-gram
206,we would like to,1026,4-gram
207,in least developed countries,1026,4-gram
208,as part of the,1022,4-gram
209,general assembly at its,1019,4-gram
210,of the world summit,1014,4-gram
211,"at the same time,",1013,4-gram
212,gender equality and the,1007,4-gram
213,"law, including international humanitarian",1006,4-gram
214,to speak on behalf,999,4-gram
215,and the empowerment of,994,4-gram
216,the united nations conference,993,4-gram
217,be deemed to be,988,4-gram
218,the use of certain,987,4-gram
219,"international human rights law,",987,4-gram
220,in the united nations,987,4-gram
221,a legally binding instrument,986,4-gram
222,least developed countries and,979,4-gram
223,the parties to the,974,4-gram
224,equality and the empowerment,973,4-gram
225,in support of the,969,4-gram
226,"the united nations system,",966,4-gram
227,deemed to be excessively,958,4-gram
228,in the framework of,957,4-gram
229,office of the united,955,4-gram
230,conference of the parties,954,4-gram
231,an integral part of,951,4-gram
232,the doha programme of,950,4-gram
233,to be excessively injurious,947,4-gram
234,to emerging technologies in,947,4-gram
235,of the human rights,945,4-gram
236,sustainable development goals and,943,4-gram
237,least developed countries to,943,4-gram
238,violence against women and,938,4-gram
239,human rights and fundamental,937,4-gram
240,the conference of the,936,4-gram
241,"of the general assembly,",935,4-gram
242,of certain conventional weapons,934,4-gram
243,international human rights law.,930,4-gram
244,the full implementation of,924,4-gram
245,of the parties to,923,4-gram
246,may be deemed to,922,4-gram
247,the human rights council,916,4-gram
248,the rights of persons,914,4-gram
249,of the work of,913,4-gram
250,0 0 0 0,913,4-gram
251,the 2030 agenda and,911,4-gram
252,information and communications technology,903,4-gram
253,proposed programme budget for,902,4-gram
254,nam states parties to,899,4-gram
255,the proposed programme budget,899,4-gram
256,status: in progress priority:,898,4-gram
257,of the high contracting,893,4-gram
258,to the use of,893,4-gram
259,calls upon states to,881,4-gram
260,the general assembly on,881,4-gram
261,the convention and its,880,4-gram
262,arms and light weapons,871,4-gram
263,be excessively injurious or,866,4-gram
264,or to have indiscriminate,863,4-gram
265,promotion and protection of,859,4-gram
266,in the least developed,859,4-gram
267,injurious or to have,857,4-gram
268,of the non-aligned movement,857,4-gram
269,of governmental experts on,856,4-gram
270,excessively injurious or to,850,4-gram
271,the basis of the,848,4-gram
272,of a legally binding,847,4-gram
273,the total elimination of,844,4-gram
274,and its member states,843,4-gram
275,of the proposed programme,843,4-gram
276,restrictions on the use,841,4-gram
277,the general assembly in,840,4-gram
278,the establishment of the,839,4-gram
279,the united nations development,835,4-gram
280,"lethal autonomous weapons systems,",833,4-gram
281,or restrictions on the,828,4-gram
282,and other state parties,828,4-gram
283,certain conventional weapons which,827,4-gram
284,the board recommended that,827,4-gram
285,behalf of the european,822,4-gram
286,the provisions of the,822,4-gram
287,the european union and,821,4-gram
288,agreed with the board’s,821,4-gram
289,international peace and security,819,4-gram
290,the role of the,817,4-gram
291,lethal autonomous weapon systems,816,4-gram
292,small island developing states,816,4-gram
293,a t i o,808,4-gram
294,of all forms of,804,4-gram
295,which may be deemed,803,4-gram
296,the president of the,801,4-gram
297,of persons with disabilities,800,4-gram
298,the view that the,798,4-gram
299,united nations and the,797,4-gram
300,review conference of the,796,4-gram
301,the international community to,795,4-gram
302,full implementation of the,794,4-gram
303,in the light of,792,4-gram
304,of economic and social,790,4-gram
305,of the council of,790,4-gram
306,related to emerging technologies,788,4-gram
307,a result of the,788,4-gram
308,all forms of violence,785,4-gram
309,by emerging technologies in,784,4-gram
310,challenges posed by emerging,783,4-gram
311,posed by emerging technologies,783,4-gram
312,"of science, technology and",781,4-gram
313,and purposes of the,773,4-gram
314,of the rights of,772,4-gram
315,"agenda for sustainable development,",771,4-gram
316,of the united nations.,769,4-gram
317,the outcome of the,767,4-gram
318,9 9 9 9,762,4-gram
319,the trade and development,762,4-gram
320,in addition to the,760,4-gram
321,other state parties to,758,4-gram
322,i i i i,756,4-gram
323,the group of 77,755,4-gram
324,the international covenant on,752,4-gram
325,of the objectives and,752,4-gram
326,set out in the,751,4-gram
327,total elimination of nuclear,749,4-gram
328,rights of persons with,747,4-gram
329,achievement of the sustainable,746,4-gram
330,for disaster risk reduction,745,4-gram
331,the nam states parties,744,4-gram
332,context of the objectives,742,4-gram
333,we commit to taking,741,4-gram
334,states parties and other,740,4-gram
335,to have indiscriminate effects,736,4-gram
336,of human rights and,729,4-gram
337,objectives and purposes of,729,4-gram
338,parties and other states,729,4-gram
339,the objectives and purposes,728,4-gram
340,nam states parties and,727,4-gram
341,commit to taking the,722,4-gram
342,to taking the following,722,4-gram
343,taking the following actions:,722,4-gram
344,of the charter of,721,4-gram
345,with the board’s recommendation,718,4-gram
346,the treaty on the,717,4-gram
347,doha programme of action,717,4-gram
348,reserves and fund balances,716,4-gram
349,of the use of,714,4-gram
350,"thank you, mr. chair.",714,4-gram
351,the rule of law,712,4-gram
352,by the end of,712,4-gram
353,of the gge on,711,4-gram
354,in view of the,709,4-gram
355,shall be used to,709,4-gram
356,"the right to privacy,",708,4-gram
357,related to trade and,708,4-gram
358,integral part of the,707,4-gram
359,the general assembly and,706,4-gram
360,conference on trade and,704,4-gram
361,and to ensure that,703,4-gram
362,weapons which may be,701,4-gram
363,"thank you very much,",699,4-gram
364,budget for the biennium,699,4-gram
365,security challenges posed by,698,4-gram
366,to be held in,697,4-gram
367,as at 30 june,696,4-gram
368,group of nam is,695,4-gram
369,group of 77 and,694,4-gram
370,the representative of the,693,4-gram
371,for the united nations,693,4-gram
372,as well as in,692,4-gram
373,on the elimination of,691,4-gram
374,of the conference of,691,4-gram
375,we look forward to,690,4-gram
376,organization of the united,690,4-gram
377,nations conference on trade,689,4-gram
378,of great britain and,689,4-gram
379,stresses the importance of,689,4-gram
